,RecentPrice,Beta,AnnualDividendRate,ROE(%),ROA(%),ProfitMargin(%),TotalCash,TotalDebt,OutstandingShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,incomeBeforeTax,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,changeToNetincome,capitalExpenditures,netBorrowings,otherCashflowsFromFinancingActivities,MarketCap
AFL,65.3300018311,0.99,1.27,12.84,2.16,18.77,121500000.0,325800000.0,661530000.0,9525000000.0,2529000000.0,124289000000.0,33253000000.0,8480000000.0,157542000000.0,135000000.0,2610000000.0,41381000000.0,102556000000.0,268000000.0,-10792000000.0,12952000000.0,5051000000.0,13829000000.0,7393000000.0,538000000.0,10080000000.0,124179000000.0,32985000000.0,693000000.0,7839000000.0,3778022597.938144,3081000000.0,54000000.0,1232000000.0,1039000000.0,962000000.0,2251000000.0,1289000000.0,1289000000.0,-57000000.0,193000000.0,5436000000.0,4147000000.0,3185000000.0,-57000000.0,1039000000.0,1039000000.0,-303000000.0,0.0,-1207000000.0,-842000000.0,206000000.0,13000000.0,1039000000.0,-1157000000.0,-625000000.0,22000000.0,870000000.0,45000000.0,-530000000.0,-208000000.0,50000000.0,-564000000.0,-582493429.6296296,-377467239.6694215,-22000000.0,43217756111.32758
AIZ,189.3000030518,0.63,2.64,9.04,1.64,13.19,394099999.99999994,383300000.0,56980000.0,9885200000.0,1731300000.0,27880400000.0,5744400000.0,18457200000.0,33624800000.0,700000.0,7199000000.0,4219300000.0,1494500000.0,2579900000.0,-206900000.0,732100000.0,2027900000.0,24184000000.0,-84100000.0,529000000.0,11146800000.0,8751800000.0,2526100000.0,1702400000.0,2201900000.0,3778022597.938144,5062200000.0,1259538676.4705882,191500000.0,882400000.0,1627970673.9130435,273900000.0,239700000.0,239700000.0,-27500000.0,37900000.0,2637800000.0,2398100000.0,2363900000.0,-48200000.0,153600000.0,882400000.0,-1190300000.0,0.0,3400000.0,-736600000.0,-151200000.0,71203177.08333333,882400000.0,-743900000.0,-328300000.0,-8700000.0,-2000000.0,41900000.0,-29500000.0,-38500000.0,12000000.0,-639900000.0,-46100000.0,-369800000.0,1247087705.357143,10786314173.891563
AJG,180.6100006104,0.6900000000000001,1.89,13.82,3.56,12.17,131900000.0,683900000.0,207280000.0,2339000000.0,5962300000.0,18445700000.0,8420200000.0,528000000.0,26915800000.0,207300000.0,3353500000.0,2873800000.0,1427900000.0,6627500000.0,-623200000.0,2006200000.0,2735100000.0,11659800000.0,-623200000.0,784800000.0,15138300000.0,20000000.0,-546300000.0,8923000000.0,5076600000.0,3778022597.938144,9161700000.0,200300000.0,231400000.0,225100000.0,250500000.0,727200000.0,345400000.0,345400000.0,-60300000.0,-7200000.0,2080500000.0,1735100000.0,1353300000.0,-114000000.0,238600000.0,225100000.0,-500000.0,-84000000.0,-119600000.0,-662800000.0,-356300000.0,22600000.0,225100000.0,-362700000.0,-1082745008.3333333,-33200000.0,452900000.0,131300000.0,107816635.51401868,-89800000.0,549000000.0,63700000.0,-44000000.0,-573800000.0,-21800000.0,37436840926.52371
AKAM,118.9899978638,1.1125609756097563,2.013416666666666,13.91,6.08,17.77,118000000.0,620900000.0,162480000.0,203596000.0,3789623000.0,3533030000.0,4582445000.0,92540000.0,8115475000.0,1647000.0,42299000.0,1096158000.0,120738000.0,1680496000.0,-304983000.0,270095000.0,1264590000.0,731440000.0,-53726000.0,2364334000.0,2761880000.0,835074000.0,2698353000.0,660092000.0,1958558000.0,3778022597.938144,98305000.0,1259538676.4705882,192564000.0,178916000.0,241463000.0,543467000.0,207146000.0,207146000.0,-18144000.0,13648000.0,860333000.0,653187000.0,316866000.0,-14582000.0,178916000.0,178916000.0,510683000.0,56965000.0,392983000.0,-93157000.0,-1456000.0,15820000.0,178916000.0,684483000.0,-108776000.0,-5080000.0,389737000.0,98041000.0,-1453000.0,-416011386.7924528,-10821000.0,9819000.0,-70678000.0,-377467239.6694215,-201000.0,19333494852.910225
ALB,210.8899993896,1.54,1.55,3.89,3.47,3.72,37500000.0,439700000.0,116980000.0,308947000.0,2920007000.0,5168511000.0,5625266000.0,538341000.0,10974118000.0,1170000.0,5798000.0,3096539000.0,1162860000.0,1597627000.0,-392450000.0,97498000.0,439272000.0,1874335000.0,-392450000.0,6064357000.0,2007981000.0,897708000.0,3718692000.0,700058000.0,1930308000.0,812920000.0,647986000.0,388500000.0,25493000.0,-3824000.0,65791000.0,247094000.0,169178000.0,169178000.0,-34261000.0,15024000.0,894204000.0,725026000.0,647110000.0,-143685000.0,10469000.0,-3824000.0,-6835000.0,143939000.0,-307763000.0,308649000.0,-311926000.0,2172000.0,-3824000.0,-155777000.0,-385000.0,-10334000.0,-146329000.0,68235000.0,107816635.51401868,-45617000.0,-49295000.0,133943000.0,-300928000.0,388283000.0,-35804000.0,24669912128.59541
ALLE,107.4300003052,1.1125609756097563,1.4,54.76,12.36,16.06,56200000.0,1755000000.0,8970000.0,459800000.0,2800000.0,2249100000.0,864200000.0,8278249846.715328,3116700000.0,900000.0,45400000.0,1061500000.0,198800000.0,808700000.0,-201000000.0,265000000.0,503900000.0,793900000.0,-201000000.0,368400000.0,1202400000.0,12400000.0,-404300000.0,307400000.0,1192500000.0,345700000.0,212400000.0,238400000.0,140800000.0,143500000.0,160000000.0,300500000.0,140500000.0,140500000.0,-12300000.0,-2800000.0,717000000.0,576500000.0,416500000.0,300000.0,143600000.0,143500000.0,7600000.0,0.0,3800000.0,-44200000.0,-74800000.0,71203177.08333333,143500000.0,43700000.0,-12900000.0,-4800000.0,88900000.0,20100000.0,13500000.0,-32300000.0,-336094604.83870965,100000.0,-10800000.0,-377467239.6694215,1000000.0,963647102.737644
AMAT,113.3600006104,1.38,0.94,51.59,18.83,25.53,61400000.0,469700000.0,888510000.0,104000000.0,8247000000.0,13578000000.0,12247000000.0,3812000000.0,25825000000.0,9000000.0,593000000.0,32246000000.0,1554000000.0,3479000000.0,-28255000000.0,1852000000.0,4995000000.0,6344000000.0,-260000000.0,2228000000.0,16107000000.0,2055000000.0,8664000000.0,5154000000.0,5452000000.0,4309000000.0,1472000000.0,1259538676.4705882,2006000000.0,1712000000.0,305000000.0,2945000000.0,2018000000.0,2018000000.0,-67000000.0,294000000.0,6123000000.0,4105000000.0,3178000000.0,-12000000.0,1712000000.0,1712000000.0,-381000000.0,699000000.0,-587000000.0,-1634000000.0,-582000000.0,89000000.0,1712000000.0,-1073000000.0,-1507000000.0,-22260245.61403509,1148000000.0,105000000.0,107816635.51401868,-216000000.0,-1131000000.0,69000000.0,-206000000.0,-377467239.6694215,1247087705.357143,100721494142.3465
AME,127.0500030518,1.1125609756097563,0.78,15.16,6.91,17.73,15500000.0,431400000.0,231320000.0,3344855000.0,986317000.0,5121299000.0,6558396000.0,382754000.0,11679695000.0,2686000.0,113079000.0,7664682000.0,1121858000.0,5180999000.0,-2095289000.0,315007000.0,358676000.0,1633826000.0,-524265000.0,766563000.0,2061815000.0,10456000.0,-1967458000.0,851372000.0,2238920000.0,738688000.0,446409000.0,415667000.0,319668000.0,257460000.0,161523000.0,491279000.0,329756000.0,329756000.0,-20476000.0,62208000.0,1440681000.0,1110925000.0,949402000.0,-10088000.0,257460000.0,257460000.0,-311141535.35353535,0.0,-13042000.0,-320395000.0,-2450000.0,11189000.0,257460000.0,-31968000.0,-185000.0,-5648000.0,307117000.0,74680000.0,1000.0,-46178000.0,-336094604.83870965,-22573000.0,-26224000.0,-283823000.0,-1398000.0,29389206705.942375
AMP,290.7300109863,1.52,4.34,47.78,1.53,20.53,756600000.0,675600000.0,111890000.0,1110000000.0,9220000000.0,170294000000.0,5685000000.0,6612000000.0,175979000000.0,3000000.0,7255000000.0,17525000000.0,157309000000.0,1458000000.0,-21063000000.0,107943000000.0,7127000000.0,9891000000.0,3000000.0,919000000.0,31839000000.0,32710000000.0,3117000000.0,16205000000.0,2792000000.0,3778022597.938144,2527000000.0,468000000.0,866000000.0,701000000.0,942000000.0,2015000000.0,1073000000.0,1073000000.0,-189000000.0,165000000.0,3762000000.0,2689000000.0,1747000000.0,-207000000.0,701000000.0,701000000.0,-2112000000.0,270000000.0,-3007000000.0,1464000000.0,761000000.0,1000000.0,701000000.0,15000000.0,-563000000.0,7000000.0,1551000000.0,3000000.0,-245000000.0,-127000000.0,-160000000.0,-109000000.0,-34000000.0,-7000000.0,2160000000.0,32529780929.257107
AMZN,3034.1298828125,1.13,2.013416666666666,25.83,5.32,5.74,1557500000.0,1130000000.0,507150000.0,7987129705.426356,51879000000.0,261842000000.0,120564000000.0,10974000000.0,382406000000.0,5000000.0,218000000.0,71592000000.0,18145000000.0,15345000000.0,-2912000000.0,22027000000.0,29944000000.0,123994000000.0,-1075000000.0,199303000000.0,138531000000.0,7200000000.0,105219000000.0,28392000000.0,55855000000.0,30933000000.0,71474000000.0,1185000000.0,4311000000.0,3156000000.0,30944000000.0,47882000000.0,4852000000.0,4852000000.0,-493000000.0,1155000000.0,110812000000.0,105960000000.0,62930000000.0,-541000000.0,3156000000.0,3156000000.0,577000000.0,4170000000.0,-14828000000.0,-2776000000.0,-1465000000.0,71203177.08333333,3156000000.0,-10490000000.0,-1082745008.3333333,-199000000.0,7313000000.0,8948000000.0,107816635.51401868,-416011386.7924528,-4890000000.0,4453000000.0,-15748000000.0,-2776000000.0,1247087705.357143,1538758970068.3594
